iter	Passed	Remaining
407	5677	8237
408	5691	8224
409	5706	8211
410	5721	8198
411	5735	8185
412	5749	8172
413	5764	8159
414	5780	8147
415	5796	8137
416	5810	8124
417	5826	8112
418	5843	8102
419	5858	8089
420	5872	8076
421	5886	8062
422	5900	8049
423	5915	8036
424	5929	8022
425	5944	8009
426	5957	7994
427	5970	7979
428	5986	7967
429	6000	7953
430	6014	7939
431	6028	7925
432	6041	7911
433	6055	7896
434	6067	7881
435	6081	7867
436	6096	7854
437	6110	7840
438	6124	7826
439	6139	7814
440	6154	7801
441	6167	7786
442	6180	7771
443	6194	7757
444	6207	7741
445	6219	7726
446	6231	7709
447	6247	7697
448	6260	7682
449	6274	7669
450	6289	7655
451	6303	7642
452	6318	7629
453	6334	7617
454	6348	7604
455	6362	7590
456	6376	7575
457	6388	7560
458	6403	7547
459	6417	7533
460	6431	7519
461	6445	7505
462	6459	7492
463	6473	7478
464	6487	7463
465	6500	7449
466	6516	7437
467	6530	7423
468	6543	7408
469	6556	7394
470	6569	7378
471	6583	7364
472	6596	7350
473	6609	7334
474	6622	7319
475	6635	7304
476	6649	7290
477	6664	7277
478	6678	7263
479	6692	7250
480	6705	7235
481	6718	7220
482	6731	7205
483	6745	7191
484	6758	7176
485	6771	7162
486	6785	7147
487	6798	7132
488	6811	7118
489	6825	7103
490	6839	7089
491	6853	7076
492	6869	7064
493	6882	7049
494	6896	7035
495	6910	7021
496	6924	7007
497	6938	6994
498	6952	6979
499	6966	6966
500	6980	6952
501	6992	6937
502	7004	6921
503	7016	6905
504	7030	6891
505	7044	6877
506	7059	6864
507	7072	6850
508	7087	6836
509	7100	6821
510	7113	6807
511	7126	6792
512	7138	6776
513	7151	6762
514	7163	6746
515	7176	6731
516	7189	6717
517	7202	6701
518	7215	6687
519	7227	6671
520	7240	6657
521	7254	6642
522	7266	6627
523	7279	6612
524	7291	6596
525	7304	6582
526	7318	6568
527	7330	6553
528	7343	6538
529	7356	6524
530	7370	6509
531	7382	6494
532	7397	6481
533	7409	6466
534	7422	6451
535	7435	6437
536	7449	6422
537	7462	6408
538	7474	6393
539	7487	6378
540	7501	6364
541	7514	6349
542	7527	6335
543	7540	6320
544	7552	6305
545	7574	6298
546	7590	6285
547	7603	6271
548	7615	6255
549	7627	6240
550	7639	6225
551	7651	6210
552	7664	6195
553	7677	6181
554	7690	6166
555	7703	6151
556	7716	6137
557	7729	6122
558	7740	6106
559	7754	6092
560	7768	6079
561	7782	6065
562	7795	6050
563	7807	6035
564	7820	6021
565	7832	6006
566	7846	5991
567	7859	5977
568	7871	5962
569	7884	5948
570	7896	5932
571	7909	5918
572	7922	5903
573	7936	5890
574	7948	5875
575	7962	5860
576	7975	5846
577	7988	5832
578	8001	5818
579	8014	5803
580	8027	5789
581	8040	5774
582	8053	5760
583	8067	5746
584	8082	5733
585	8095	5719
586	8110	5706
587	8124	5692
588	8137	5678
589	8151	5664
590	8164	5649
591	8176	5635
592	8189	5621
593	8204	5607
594	8218	5594
595	8231	5580
596	8246	5566
597	8260	5552
598	8273	5538
599	8288	5525
600	8302	5512
601	8316	5498
602	8328	5483
603	8342	5469
604	8355	5455
605	8368	5440
606	8382	5427
607	8396	5413
608	8409	5399
609	8422	5384
610	8435	5370
611	8449	5356
612	8464	5343
613	8480	5331
614	8494	5317
615	8507	5303
616	8520	5288
617	8533	5274
618	8547	5260
619	8559	5246
620	8573	5232
621	8586	5218
622	8599	5203
623	8612	5189
624	8626	5175
625	8640	5162
626	8656	5149
627	8670	5135
628	8684	5122
629	8698	5108
630	8712	5095
631	8728	5082
632	8742	5068
633	8755	5054
634	8770	5041
635	8784	5027
636	8798	5013
637	8811	4999
638	8827	4987
639	8843	4974
640	8858	4961
641	8872	4947
642	8887	4934
643	8902	4921
644	8917	4908
645	8933	4895
646	8949	4882
647	8963	4869
648	8978	4855
649	8993	4842
650	9008	4829
651	9024	4816
652	9037	4802
653	9052	4788
654	9067	4775
655	9081	4762
656	9095	4748
657	9110	4735
658	9126	4722
659	9140	4708
660	9155	4695
661	9170	4682
662	9187	4670
663	9202	4656
664	9217	4643
665	9230	4628
666	9244	4615
667	9258	4601
668	9272	4587
669	9286	4573
670	9300	4560
671	9315	4546
672	9330	4533
673	9345	4520
674	9362	4507
675	9376	4494
676	9391	4480
677	9405	4466
678	9419	4452
679	9432	4439
680	9446	4424
681	9461	4411
682	9476	4398
683	9491	4385
684	9505	4371
685	9520	4357
686	9534	4343
687	9552	4331
688	9567	4318
689	9581	4304
690	9595	4290
691	9608	4276
692	9621	4262
693	9635	4248
694	9649	4234
695	9661	4220
696	9674	4205
697	9687	4191
698	9701	4177
699	9716	4164
700	9730	4150
701	9745	4136
702	9758	4122
703	9771	4108
704	9785	4094
705	9798	4080
706	9811	4066
707	9824	4051
708	9837	4037
709	9849	4023
710	9862	4008
711	9875	3994
712	9889	3980
713	9902	3966
714	9917	3952
715	9931	3939
716	9943	3924
717	9956	3910
718	9969	3896
719	9983	3882
720	9996	3868
721	10009	3854
722	10022	3839
723	10034	3825
724	10048	3811
725	10060	3796
726	10074	3783
727	10088	3769
728	10101	3755
729	10115	3741
730	10128	3727
731	10141	3713
732	10154	3698
733	10167	3684
734	10181	3670
735	10194	3656
736	10207	3642
737	10221	3628
738	10234	3614
739	10246	3600
740	10260	3586
741	10274	3572
742	10287	3558
743	10300	3544
744	10313	3530
745	10325	3515
746	10338	3501
747	10350	3487
748	10363	3473
749	10376	3458
750	10389	3444
751	10402	3430
752	10416	3416
753	10429	3402
754	10443	3388
755	10456	3374
756	10469	3360
757	10481	3346
758	10494	3332
759	10506	3317
760	10518	3303
761	10530	3289
762	10543	3274
763	10555	3260
764	10568	3246
765	10581	3232
766	10594	3218
767	10608	3204
768	10623	3191
769	10636	3177
770	10650	3163
771	10663	3149
772	10675	3134
773	10688	3121
774	10701	3106
775	10715	3093
